Anno,Entità,Data Overshoot,Stato DOS,Biocapacità (Gha/persona),Imponta Eco(Gha/persona),Biocapacità Totale (M Gha),Impronta Eco Totale (M Gha),Quante Terre
2017,Mondo,02 August,Disponibile,1.58,2.71,"11,977,911,640.05","20,616,501,286.28",1.7
2017,Qatar,10 February,Disponibile,0.94,14.05,"2,545,293.42","38,102,196.78",8.9
2017,Regno Unito,05 May,Disponibile,1.18,4.57,"77,948,979.35","301,923,533.88",2.9
2017,Sud Africa,05 October,Disponibile,1.31,3.40,"74,103,219.77","192,723,661.92",2.2
2017,Sud America,10 October,Disponibile,4.97,2.67,"2,864,646,742.88","1,538,083,725.46",1.7
2017,USA,14 March,Disponibile,3.86,8.09,"1,274,074,064.35","2,667,217,610.13",5.1
2018,Africa,18 December,Disponibile,0.99,1.32,"1,134,279,207.05","1,499,475,614.98",0.9
2018,Asia,05 September,Disponibile,0.62,2.20,"2,587,126,264.38","9,233,953,302.02",1.4
2018,Australia,10 March,Disponibile,11.95,7.23,"298,477,072.25","180,569,133.77",4.7
2018,Brasile,20 August,Disponibile,8.41,2.58,"1,767,100,051.57","541,245,102.62",1.7
2018,Canada,14 March,Disponibile,14.95,8.48,"553,836,947.63","314,205,136.81",5.5
2018,Centro America,31 October,Disponibile,1.27,2.64,"207,406,388.79","429,356,344.73",1.7
2018,Cina,08 June,Disponibile,0.71,3.40,"1,035,702,120.13","4,924,618,464.41",2.2
2018,Egitto,22 December,Disponibile,0.23,1.68,"24,013,190.71","174,193,844.66",1.1
2018,Europa,06 May,Disponibile,3.15,4.87,"2,127,282,753.98","3,289,177,437.61",3.1
2018,Francia,06 May,Disponibile,2.69,5.09,"173,034,811.95","327,279,522.26",3.3
2018,Germania,04 May,Disponibile,1.59,4.96,"131,880,259.57","411,085,782.27",3.2
2018,Giappone,12 May,Disponibile,0.61,4.47,"77,307,153.83","564,909,842.28",2.9
2018,Italia,24 May,Disponibile,0.94,4.44,"56,239,435.29","265,811,925.70",2.9
2018,Lussemburgo,12 February,Disponibile,1.43,14.90,"870,163.42","9,057,717.77",9.6
2018,Mondo,01 August,Disponibile,1.55,2.72,"11,940,791,315.91","20,885,383,199.38",1.8
2018,Qatar,10 February,Disponibile,0.92,13.65,"2,553,921.77","37,758,101.56",8.8
2018,Regno Unito,05 May,Disponibile,1.14,4.49,"75,736,122.30","298,515,437.71",2.9
2018,Sud Africa,01 October,Disponibile,1.25,3.34,"71,539,982.08","191,282,803.66",2.2
2018,Sud America,08 October,Disponibile,4.89,2.60,"2,843,106,563.00","1,513,454,762.33",1.7
2018,USA,15 March,Disponibile,3.87,8.22,"1,283,778,325.49","2,728,562,834.02",5.3
2019,Africa,16 December,Disponibile,0.97,1.30,"1,136,994,427.24","1,517,165,601.80",0.8
2019,Asia,03 September,Disponibile,0.62,2.20,"2,609,706,165.43","9,305,966,967.18",1.4
